team_id,league_id,season,position,points,played,wins,draws,losses,goals_for,goals_against,goal_diff,win_rate,goals_per_match,home_wins,away_wins,injury_count,shots_total,shots_on_goal,shots_off_goal,shots_blocked,shots_inside_box,shots_outside_box,fouls_committed,fouls_drawn,corners_taken,offsides,ball_possession_avg,yellow_cards,red_cards,passes_total,passes_accurate,passes_accuracy_pct,passes_key,attacks_total,attacks_dangerous,goalkeeper_saves,goalkeeper_saves_pct,venue_id,venue_name,venue_capacity,coach_id,coach_name,coach_nationality,team_formation_most_used,avg_team_age,home_shots_avg,away_shots_avg,home_possession_avg,away_possession_avg,home_corners_avg,away_corners_avg,home_cards_avg,away_cards_avg,top_scorer_goals,top_scorer_assists,top_scorer_rating,squad_market_value,squad_avg_age,squad_foreign_players,players_injured_current,players_suspended_current,last_5_matches_wins,last_5_matches_goals_for,last_5_matches_goals_against,form_trend,matches_clean_sheets,matches_failed_to_score,recent_match_possession,recent_match_shots,recent_match_corners,recent_match_cards,recent_match_fouls,recent_match_offsides,recent_match_lineup_changes,recent_match_substitutions,avg_odds_win,avg_odds_draw,avg_odds_lose,bookmaker_confidence,prediction_accuracy_score
42,39,2025,1,6,2,2,0,0,6,0,6,1.0,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,2.0,2.0,6.725,0.0,25.45,14.0,0.0,0.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
47,39,2025,2,6,2,2,0,0,5,0,5,1.0,2.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,4.83,0.0,24.65,15.0,0.0,0.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
49,39,2025,3,4,2,1,1,0,5,1,4,0.5,2.5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,3.0,2.0,6.949,0.0,23.5,12.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
65,39,2025,4,4,2,1,1,0,4,2,2,0.5,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,2.0,1.0,4.825,0.0,26.45,16.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
40,39,2025,5,3,1,1,0,0,4,2,2,1.0,4.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,4.86,0.0,25.65,16.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
50,39,2025,6,3,2,1,0,1,4,2,2,0.5,2.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,3.0,1.0,6.742,0.0,25.05,15.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
746,39,2025,7,3,2,1,0,1,3,2,1,0.5,1.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.404999999999999,0.0,23.8,15.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
45,39,2025,8,3,2,1,0,1,2,1,1,0.5,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,2.0,4.8325,0.0,26.55,9.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
35,39,2025,9,3,2,1,0,1,3,4,-1,0.5,1.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,2.0,1.0,5.0375,0.0,24.7,13.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
44,39,2025,10,3,2,1,0,1,2,3,-1,0.5,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.6899999999999995,0.0,26.05,14.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
55,39,2025,11,3,2,1,0,1,2,3,-1,0.5,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,0.0,5.3225,0.0,24.7,15.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
63,39,2025,12,3,2,1,0,1,1,5,-4,0.5,0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,0.0,5.5125,0.0,26.95,15.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
36,39,2025,13,2,2,0,2,0,2,2,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.3275,0.0,28.6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
52,39,2025,14,2,2,0,2,0,1,1,0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,4.7700000000000005,0.0,26.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
34,39,2025,15,1,1,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.395000000000001,0.0,27.05263157894737,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
33,39,2025,16,1,2,0,1,1,1,2,-1,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,25.75,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
66,39,2025,17,1,2,0,1,1,0,1,-1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,5.675000000000001,0.0,26.45,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
51,39,2025,18,1,2,0,1,1,1,3,-2,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,0.0,5.28,0.0,26.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
39,39,2025,19,0,2,0,0,2,0,5,-5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,5.584999999999999,0.0,26.4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
48,39,2025,20,0,2,0,0,2,1,8,-7,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.17,0.0,27.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
529,140,2025,2,6,2,2,0,0,6,2,4,1.0,3.0,0,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,2.0,2.0,5.945,0.0,23.55,19.0,0.0,0.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
543,140,2025,5,4,2,1,1,0,2,1,1,0.5,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.532500000000001,0.0,28.0,20.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
728,140,2025,6,3,1,1,0,0,3,1,2,1.0,3.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.67,0.0,28.2,20.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
533,140,2025,1,6,2,2,0,0,7,0,7,1.0,3.5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,3.0,1.0,5.885,0.0,25.9,20.0,0.0,0.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
546,140,2025,7,3,1,1,0,0,2,0,2,1.0,2.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,546.0,Elland Road,40204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,3.0,2.0,4.5024999999999995,0.0,25.35,20.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
531,140,2025,8,3,1,1,0,0,3,2,1,1.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.494999999999999,0.0,26.8,20.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
540,140,2025,4,4,2,1,1,0,4,3,1,0.5,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,2.0,1.0,5.44,0.0,26.65,19.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
541,140,2025,3,6,2,2,0,0,4,0,4,1.0,2.0,1,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,2.0,5.629500000000001,0.0,25.15,18.0,0.0,0.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
542,140,2025,9,3,2,1,0,1,2,2,0,0.5,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.442499999999999,0.0,27.2,20.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
